Virus,taxonomy,vir.class,Host genome,Host taxonomy,Main method,Confidence score,Additional methods,d,p,c,o,f,g,s,lifestyle
A_S10C19079,Caudoviricetes_unclassified_family,Caudoviricetes,A-PR7-MP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__,iPHoP-RF,91.4,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Allosphingosinicella,s__,temperate
A_S10C19079,Caudoviricetes_unclassified_family,Caudoviricetes,M-PR7-MP.14.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_N;s__,iPHoP-RF,89.8,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_N,s__,temperate
A_S10C19079,Caudoviricetes_unclassified_family,Caudoviricetes,M-PR7-MP.3.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_N;s__,iPHoP-RF,85.1,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_N,s__,temperate
A_S10C19079,Caudoviricetes_unclassified_family,Caudoviricetes,S-DB2-MP.7.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__,iPHoP-RF,80.6,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Allosphingosinicella,s__,temperate
A_S10C4167,Kyanoviridae,Caudoviricetes,A-TR12I-nonMP.21.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,91.4,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
A_S10C4167,Kyanoviridae,Caudoviricetes,S-YL4-W.4.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,91.4,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
A_S10C4167,Kyanoviridae,Caudoviricetes,A-YL4-MP.4.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,83.9,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
A_S10C4167,Kyanoviridae,Caudoviricetes,M-DB2-nonMP.15.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,83.9,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
A_S10C4167,Kyanoviridae,Caudoviricetes,M-TR12D-nonMP.12.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__,iPHoP-RF,81.9,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__,temperate
A_S10C4167,Kyanoviridae,Caudoviricetes,M-TR12I-nonMP.4.semibin.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__,iPHoP-RF,80,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__,temperate
A_S10C4167,Kyanoviridae,Caudoviricetes,A-TR12I-MP.1.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,77.5,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
A_S10C5358,Caudoviricetes_unclassified_family,Caudoviricetes,M-TC2-nonMP.2.rename,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__,iPHoP-RF,84.2,None,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__,virulent
A_S10C9758,Caudoviricetes_unclassified_family,Caudoviricetes,M-PR7-MP.7.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,iPHoP-RF,93.4,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,virulent
A_S10C9758,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12I-MP.17.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,iPHoP-RF,81.9,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,virulent
A_S10C9758,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL2-MP.2.semibin.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,iPHoP-RF,80.8,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,virulent
A_S11C16284,Caudoviricetes_unclassified_family,Caudoviricetes,A-IN2-nonMP.7.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,iPHoP-RF,88.9,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnohabitans_A,s__,temperate
A_S11C16284,Caudoviricetes_unclassified_family,Caudoviricetes,A-IN2-W.25.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,iPHoP-RF,86.3,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnohabitans_A,s__,temperate
A_S11C16284,Caudoviricetes_unclassified_family,Caudoviricetes,S-TR12B-W.7.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,iPHoP-RF,80.6,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnohabitans_A,s__,temperate
A_S11C16284,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12D-nonMP.2.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,iPHoP-RF,80.3,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnohabitans_A,s__,temperate
A_S11C16284,Caudoviricetes_unclassified_family,Caudoviricetes,M-W-TR12D.2.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,iPHoP-RF,79.8,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnohabitans_A,s__,temperate
A_S11C1742_1,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL4-nonMP.6.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__,iPHoP-RF,77.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__,s__,virulent
A_S11C1936,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL4-nonMP.8.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__,iPHoP-RF,88.2,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Giesbergeria,s__,virulent
A_S11C20552,Caudoviricetes_unclassified_family,Caudoviricetes,M-W-TR19I.6.semibin.rename,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__;s__,iPHoP-RF,77.8,None,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__,s__,virulent
A_S11C2793,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12D-nonMP.2.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,iPHoP-RF,92.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnohabitans_A,s__,temperate
A_S11C2793,Caudoviricetes_unclassified_family,Caudoviricetes,S-TR12B-W.7.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,iPHoP-RF,90.8,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnohabitans_A,s__,temperate
A_S11C2793,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12D-nonMP.4.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,iPHoP-RF,90.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnohabitans_A,s__,temperate
A_S11C2793,Caudoviricetes_unclassified_family,Caudoviricetes,A-IN2-W.25.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,iPHoP-RF,87,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnohabitans_A,s__,temperate
A_S11C2793,Caudoviricetes_unclassified_family,Caudoviricetes,A-IN2-nonMP.7.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,iPHoP-RF,82.8,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnohabitans_A,s__,temperate
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12D-W.8.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,97.1,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,F-KN5-MP.5.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,96.1,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12D-MP.3.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,95.7,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR17L-nonMP.9.semibin.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,95.7,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12I-MP.1.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,95.4,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL4-MP.4.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,94.4,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,A-TC2-nonMP.8.semibin.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,94.1,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,S-YL4-W.4.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,92.4,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,F-TR17L-MP.1.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,92.1,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12I-nonMP.21.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,90.1,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,S-TSR1-W.2.semibin.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,88.5,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12B-nonMP.30.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,83.6,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3179,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12I-W.2.semibin.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,79.5,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,virulent
A_S11C3321,Caudoviricetes_unclassified_family,Caudoviricetes,S-TR19I-MP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__,iPHoP-RF,95.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Giesbergeria,s__,virulent
A_S11C3321,Caudoviricetes_unclassified_family,Caudoviricetes,A-TC2-nonMP.13.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Xylophilus;s__,iPHoP-RF,94.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Xylophilus,s__,virulent
A_S11C3321,Caudoviricetes_unclassified_family,Caudoviricetes,S-YL2-MP.2.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sphaerotilus;s__,iPHoP-RF,92.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Sphaerotilus,s__,virulent
A_S11C3321,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL2-nonMP.30.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Curvibacter;s__,iPHoP-RF,89.2,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Curvibacter,s__,virulent
A_S11C3321,Caudoviricetes_unclassified_family,Caudoviricetes,A-TSR1-nonMP.18.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__,iPHoP-RF,87.6,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Acidovorax,s__,virulent
A_S11C3321,Caudoviricetes_unclassified_family,Caudoviricetes,M-TN6-nonMP.7.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__,iPHoP-RF,77.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Hydrogenophaga,s__,virulent
A_S11C3321,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12-nonMP.5.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ramlibacter;s__,iPHoP-RF,75.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ramlibacter,s__,virulent
A_S11C3941,Caudoviricetes_unclassified_family,Caudoviricetes,M-YL4-MP.13.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__,iPHoP-RF,93.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Hydrogenophaga,s__,temperate
A_S11C3941,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL2-MP.23.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__,iPHoP-RF,91.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Hydrogenophaga,s__,temperate
A_S11C3941,Caudoviricetes_unclassified_family,Caudoviricetes,M-TN6-nonMP.7.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__,iPHoP-RF,90.5,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Hydrogenophaga,s__,temperate
A_S11C40716,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12D-nonMP.1.rename,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__,iPHoP-RF,88.5,None,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__,virulent
